,uid,project
74,83.0,西北农林科技大学户外公共空间设计要素对微气候热舒适nannanpH对欧洲报春花色形成的作用机理1.从花瓣内部环境和外部缓冲液环境两方面入手，初步探讨了pH值对欧洲报春不同花色形成的影响;2.分离到一个欧洲报春花pH值调控基因PvPH4nan
75,84.0,双梯度钻井系统关键技术研究及应用完成了双梯度钻井系统关键技术的研究以及对天然气水合物钻采的虚拟仿真模拟国家级RCO废气处理设备设计设计研发的新型RCO废气处理设备大大提高了废气处理的效率以及工厂空间利用率其他儿童防溺水书包设计经过不断的材料选择，重量计算以及实地实验，成功设计出了不同型号应用于不同年龄段儿童的防溺水书包其他
76,85.0,基于区间数的智能卡企业工人绩效考核指标体系设计完成了论文《基于区间数的智能卡企业工人绩效考核指标体系设计》国家级中国高等教育服务贸易问题研究《中国高等教育服务贸易竞争力分析》省市级互联网金融投资人利益保护机制研究张恒nan雄安新区建设中绿色金融发展的机遇和挑战《雄安新区的绿色金融风险控制体系分析》省市级
77,86.0,家风对企业家的影响在该项目中，获得“优秀个人”称号。其他“企业社会责任”编纂分析企业社会责任，以及其深远的意义。其他回收物流课题研究学校快递点在此次调研后开始重视对快递包装的回收利用，回收物流的重视度有所提升。其他
78,87.0,一种基于公式解析的数学公式检索索引创建方法与系统在审专利其他中文新闻网页爬虫文本过滤系统软件著作权其他局域网数据嗅探分析系统软件著作权其他地区影响趋势预测系统软件著作权其他高校图书馆管理系统软件著作权其他
79,88.0,云丰杯第二届全国逆向物流设计大赛优秀创意奖省市级“云丰杯”第二届全国逆向物流设计大赛发表在大众投资指南上省市级
80,89.0,合肥乐福儿慧眠科技有限公司团队参加“互联网＋”、“创青春”、“挑战杯”、“职业规划设计大赛”等创新创业类竞赛项目，获得省级金奖5项、银奖2项，获得国家级铜奖2项，中央电视台、上海电视台、北京卫视等多家媒体均对本公司项目有所报道。国家级
81,90.0,研究樟子松树高曲线及其影响因素暂无国家级
82,91.0,农村居民网购现状及发展成绩优秀，被评为校一等奖。调研论文总结出促进彬州市农村地区网购发展的措施：加快健全农村物流体系，解决“最后一公里”问题，普及网购方法，激发农民网购热情，加强监管，保证网络安全。其他工作论文《女孩学业梦更难？—来自CFPS2016的证据》贡献在于：一使用了最新的2016年数据，对当前家庭人力资本投资性别差异情况进行验证与更新。二对于目前研究较少关注到不同的父母职业背景下家庭人力资本投资性别差异的情况作补充。三重点比较独生家庭与非独生家庭在此问题上的差异，为生育政策放开后配套措施出台提供依据其他
83,92.0,大学生创新项目验证生物炭改善土壤性状的假说，为黄河口芦苇湿地土壤提供支撑。省市级
84,93.0,柳杉毛虫两种蛹寄生蜂对寄主资源利用的时空格局研究通过本研究，掌握平背囊爪姬蜂与松毛虫凸腿小蜂对柳杉毛虫的最适寄生龄期，成蜂在寄主蛹中的产卵时间利用策略，两种寄生蜂对两种独寄生体系的种间识别能力，以及对寄主产卵的空间利用策略；明确共寄体状态下是否改变幼虫的生理进程，初步了解幼虫发育的物候、空间适应策略以省市级
85,94.0,省级大学生创新训练项目严畅nan新媒体传播环境下高校地理教学方式的变革?严畅.新媒体传播环境下高校地理教学方式的变革[J].智富时代nan基于逐步回归的低保标准预测模型研究?蔡天鸿，严畅.基于逐步回归的低保标准预测模型研究[J].山东工业技术nan
86,95.0,抑郁倾向人群在网络表情符号上的表达特点撰写论文一篇其他
87,96.0,《基于SCP-AHP的精准扶贫跟踪审计评价体系研究——以申请安徽财经大学2018年省级大学生创新训练计划项目省市级
88,97.0,nannannan
89,98.0,大学生创新创业项目成果论文《花楸花粉超低温保存及再生》发表于国家核心期刊《福建农业学报》。国家级
90,99.0,nannannan
91,100.0,nannannan
92,101.0,绵阳市实验中学校园改造项目得到甲方认可其他基于儿童发展心理学对于儿童景观设计的建议论文发表于公开刊物《科学导报》其他钢笔速写太行村落发表于公开期刊新玉文艺其他马克笔表现《印象西藏》发表于公开期刊其他
93,103.0,nannannan
94,104.0,大学生开放实验项目“蓬莱水城建筑及景观空间”蓬莱水城形势险峻，是国内现存最完整的古代水军基地。本课题将重点关注蓬莱水城的建筑及景观空间形式，以及蓬莱水城古代水处理技术的研究，具有较强的实践价值，培养实地调研和研究的能力，制作沙盘模型，进一步深刻理解地域性传统建筑和景观设计的设计要点，提高设计水平。其他发表论文——济南地区屋顶花园的植物选择及配置发表于《现代园艺》2019八月刊其他国家级大创项目：'手绘迷'高校景观艺术设计培训孵化器打造校园文化，让景观艺术设计惠及更多感兴趣的人士，提高专业影响力。 同时为在读学生提供一个实践的平台，以此传承和延续下去，帮助更多有需要的同学。国家级
95,105.0,秸秆类农业废弃物在室内装饰设计中的应用研究与创新1.实物一件（秸秆屏风）。2.发明专利（一种秸秆农业废弃物材料的前处理装置），专利受审中。3.外观设计专利（秸秆屏风），专利受审中。4.论文（秸秆材料在室内陈设设计的应用研究），尚未发表。国家级
96,106.0,传统养生文化在现代疗养院景观设计中的运用研究。nannan
97,107.0,nannannan
98,108.0,nannannan
99,109.0,nannannan
100,110.0,nannannan
101,111.0,基于气象时间序列的森林气象火线等级预测方法研究预期成果：发表 SCI 或 EI 检索论文一篇 森林气象火险等级预测原型系统 形成森林气象火险等级预测结题报告一篇 森林气象火险等级预测原型软件著作权一项国家级
102,112.0,一种“智能洗鞋袜器”的研发及推广申请一项实用新型专利（受理阶段）国家级高原城市不同植被类型土壤入渗特性研究参加相关学术年会一次；实验得到五种不同植被类型的理化性质及入渗数据，用三种入渗模型对其进行拟合，目前论文撰写工作正在进行中国家级
103,113.0,nannannan
104,114.0,nannannan
105,115.0,nannannan
106,116.0,nannannan
107,117.0,首届旅游实验研究方法学术研讨会发表首届旅游实验研究方法学术研讨会会议论文其他第十届“挑战杯”首都大学生课外科技作品竞赛北京市三等奖省市级首都师范大学挑战杯大学生课外学术科技作品竞赛一等奖其他国家大学生创新创业训练计划项目丰富游客的自然和人文知识体验提供一定的指导意义和参考价值国家级首都师范大学本科生科学研究与创业行动项目研究让精品酒店的功能能够更好地服务于旅游目的地与旅游者其他新蚁族杯”第五届中国高校地理科学展示大赛报名参赛中国家级
108,118.0,微型多功能智能化混凝土景观产品设计实用新型专利：一种可净化空气智能景观花盆专利号：ZL 2018 2 0608832.5省市级
109,119.0,红星照耀项目荣获“创青春”创业大赛省赛铜奖，校赛二等奖。省市级
110,120.0,北京市大学生创新计划2018年以学术论文《从研发投入分析互联网教育企业的竞争力—以全通教育为例》和《互联网教育企业的商业模式以及其中蕴含的盈利分析》结题，且分别公开发表于期刊《商业经济》和《中国商论》，我分别担任第一作者和第四作者。省市级2018年暑期STAY IN TOKYO项目学习报告一份，且获得日本上智大学颁发的结业证书。其他湖南长沙书院项目撰写实习报告一份。其他重庆红色基地实践学习实践报告一份其他北京汇思创杰管理咨询有限公司实习我主要是负责相关会议纪要的整理和领导出差事宜的打理。其他
111,121.0,nannannan
112,122.0,nannannan
113,124.0,《河北省女大学生HPV疫苗接种现状调查分析》完成分析报告作品，获得省级一等奖。省市级《宠问》在第八届全国大学生电子商务“创新、创意及创业”挑战赛河北大学校赛选拔赛获二等奖其他农村电子商务平台设计在河北大学“2018年校级大学生创新创业训练计划项目”结项评审中评为良好其他
114,125.0,nannannan
115,126.0,人工湿地植物群落构建及对湿地生态环境效益的研究nannan
116,127.0,nannannan
117,128.0,nannannan
118,129.0,新能源汽车座椅材质优化设计及舒适度评估体系构建研究论文与座椅模型省市级
119,130.0,nannannan
120,131.0,花楸花粉超低温保存的探究发表论文《花楸花粉超低温保存及再生》至《福建农业学报》。国家级
121,132.0,市场调查与分析获得“正大杯”全国大学生市场调查与分析大赛省级二等奖省市级百县千村人口流动调研与数据库建设项目我的成就在于做好初步的调研数据的处理分析，为老师们进一步的科研工作做好准备工作其他
122,133.0,nannannan
123,134.0,nannannan
124,135.0,nannannan
125,136.0,氮沉降对香榧生理生态的影响校级大创待结题其他一种减轻桃果实冷害褐变的低功率微波技术获得安徽省大学生食品创新大赛优秀奖省市级天敌实验—不同龄期与数量的蠋蝽对美国白蛾的刺吸作用得出初步结论其他
126,137.0,《让胶东之花活起来：对高密茂腔的现状调研及分析》第十六届“挑战杯”全国大学生课外学术科技竞赛省一等奖（团队负责人）；2018年“创青春”海尔山东省大学生创业大赛省铜奖（团队第二负责任人）省市级
127,138.0,nannannan
128,139.0,O2O模式对大学生生活的影响完成论文《基于双边市场理论的O2O应用平台研究》，并获得校级大创项目二等奖。省市级社会信任的影响因素完成论文《高等教育对社会信任的影响及其作用机制》，并发表在消费导刊。省市级
129,140.0,中国林业市场监测预警体系政策研究报告尚未发表其他国际上森林城市发展的主要经验与政策启示该报告于2019年3月获得国家林业和草原局的肯定性批示，为推动森林城市相关工作发挥重要作用。其他基于多源异构信息资源的科学前沿探测方法研究暂无省市级
130,141.0,大创《湖滨带土地利用异质性对大庆城市湖泊湿地水环境 “一种湖泊景观水微循环治理系统”获得了实用新型专利证书。国家级全国林业创新创业大赛获全国半决赛入围奖国家级
131,142.0,nannannan
132,143.0,基于城市群可持续发展能力下的绿色出行模式研究无其他
133,144.0,nannannan
134,145.0,南京农业大学大学生srt项目课题已结项其他
135,146.0,nannannan
136,147.0,nannannan
137,148.0,nannannan
138,149.0,nannannan
139,150.0,《虚拟穿搭，衣依所想-MGoutfit虚拟试衣平台》辽宁省大学生电子商务“创新，创意及创业”挑战赛二等奖省市级《虚拟试衣，衣依所想》互联网+校级铜奖其他
140,151.0,nannannan
141,152.0,大学生就业匹配问题研究—基于大庆市三所高校的调查分项目最终获得黑龙江省省级评定。并且，我曾以第一作者身份发表论文《大学生专业设置与就业匹配的问题研究》省市级
142,153.0,nannannan
143,154.0,第三届全国高校互联网金融应用创新大赛取得了省级第二名的优异成绩。我的团队协作能力、实践操作能力和专业知识能力都有所提升。省市级2018年创新创业训练项目2019年6月，该项目顺利结项，获得评委老师的认可和好评。通过此项目，我逐渐掌握了调研活动的研究性方法，也认识到调研活动的价值和重要性。其他
144,155.0,发表论文《会计信息化下的中小企业云会计建设》其他论文《中小企业最优存货管理》其他
145,156.0,nannannan
146,158.0,nannannan
147,159.0,nannannan
148,160.0,nannannan
149,161.0,nannannan
150,162.0,nannannan
151,163.0,nannannan
152,164.0,nannannan
153,165.0,nannannan
154,166.0,遗传算法优化废弃矿坑景观规划设计研究未结题国家级
155,167.0,nannannan
156,168.0,《青岛上市公司内部控制评价体系的研究》的校创项目在此期间，我们查找了青岛29家上市公司的内部控制评价报告，手工整理了青岛上市公司内部控制评价报告的披露情况，并查找大量相关文献了解内部控制评价体系，我们借鉴《企业内部控制评价指标体系研究》中内部控制评价指标的构架方法，设计了的两层级指标体系。其他
157,169.0,低温胁迫对柳叶马鞭草生理的影响结题报告其他虎耳草与活血丹对异质性光照条件适应的比较分析结题报告其他
158,170.0,nannannan
159,171.0,百分树现代农业开发项目项目尚在开展过程中国家级长春市七彩莓果业有限公司项目获：第三届吉林省“互联网+”大学生创新创业大赛铜奖长春市2017青年科技创新创业大赛三等奖并获得五万元扶持资金省市级明德创意文化广告设计公司以设计并制作出树牌、明信片等，并广泛投入使用、销售国家级长白山区野生软枣猕猴桃配套栽培技术研究在《江苏农业科学》中发表论文《应用响应面法优化软枣猕猴桃的一步成苗培养基》省市级白檀SRAP-PCR体系优化及引物筛选nannan遮阴对玉带草光合特性的影响在《江苏农业科学》发表论文《遮阴对玉带草光合特性的影响》省市级玉带草光合特性的研究nannan
160,172.0,nannannan
161,173.0,生态校园与景观装置模拟对比实验1、发表国家级期刊《中国高新科技》论文一篇，题为《生态校园与景观装置模拟对比实验——以内蒙古工业大学为例》；2、获得实用新型专利《生态校园装配式景观装置》一项，专利号：2019 2 0401829.0；3、代表内蒙古工业大学科创项目接受内蒙古电视台采访。省市级乌梁素海零能耗集合式生土住居设计获得内蒙古工业大学第十一届大学生节能减排社会实践与科技竞赛第一名其他空间句法视角下的动态复合景观构筑设计研究第一发明人获得外观设计专利《房门》一项，专利号：ZL 2018 3 0755049.7；其他
162,174.0,不同基质接种外生菌根真菌对锥栗幼苗生长及酶活性的影发表文章《不同接菌方式对锥栗幼苗生长及光合的影响》，获第六届中国林学会会议论文三等奖、项目成果参加长沙市大学生创新创业大赛获得一等奖。国家级
163,175.0,参与本专业老师的河北省第三次全国农业普查研究课题获得重点课题二等奖省市级大学生创新创业训练项目国家级立项并顺利结项国家级
164,176.0,nannannan
165,177.0,手提袋（长沙的冬天）达到美感国家级
166,178.0,前表面荧光光谱快速检测果汁饮品中原果汁的含量1.以芦丁为标准品，用铝盐法测定总黄酮的含量2以橙皮苷为标准品，用国标法测定总黄酮的含量3以橙皮苷为标准品，测定果汁样品中总黄酮的含量国家级
167,179.0,nannannan
168,180.0,nannannan
169,181.0,nannannan
170,182.0,nannannan
171,183.0,泰山松石景观调查整合了泰安市现有松石景观资源并制定出了一套评分体系、分类方法及布景原则。其他
172,184.0,农林高校大学生创新创业意愿及行为调查研究一篇调研报告，两篇项目论文均已发表。其他重点国有林区“改革监测”社会调查被评为“社会实践先进个人”。国家级黑龙江省科技工作者创新创业态度研究撰写了一篇调研报告，一篇项目论文。其他
173,185.0,暂无科研项目无其他
174,186.0,nannannan
175,187.0,国家实用新型专利《一种伸缩式球网架》获得国家实用新型专利国家级国家实用新型专利一种用于环境艺术设计用的画图设备已受理，正在审核中国家级参加国家级大创项目《IROOM-室内环境检测系统》申报成功省市级参加互联网+比赛《L·R城市雨水回收系统》已申报省市级《保护生态文明——武汉市环境问题的调查与改善》通过调查，当地市民保护环境的意识大大提高其他
176,188.0,nannannan
177,189.0,nannannan
178,190.0,nannannan
179,191.0,nannannan
180,192.0,nannannan
181,193.0,nannannan
182,194.0,nannannan
183,195.0,nannannan
184,196.0,北斗杯全国青少年科技创新大赛第十届北斗杯全国青少年科技创新大赛华东赛区三等奖第十届北斗杯全国青少年科技创新大赛福州赛区二等奖省市级
185,197.0,核心期刊《美术大观》发表论文《传技·守艺—探究福州油纸伞的民俗底蕴与美学价值》 在核心期刊《美术大观》期刊2018年第二期70-71页发表国家级在SCD期刊《家具与室内装饰》发表论文《基于杉木环境学特质的室内环境设计》 在scd期刊《家具与室内装饰》2019年 2月刊112-113页发表省市级在SCD期刊《美术教育研究》发表论文《福州南后街花灯的文俗源流与艺术特征的沿析》 在scd期刊《美术教育研究》2019年3月（下）刊 24-25发表省市级在SCD期刊《大众文艺》发表论文《陈之有意，设之成境——室内陈设艺术刍议》在scd期刊《大众文艺》2019年14期126页发表省市级实用新型专利——一种便携式人机两用草莓采摘装实用新型专利——一种便携式人机两用草莓采摘装置 授权时间 2019.9.03国家级
186,198.0,nannannan
187,199.0,nannannan
188,200.0,nannannan
189,201.0,nannannan
190,202.0,nannannan
191,203.0,探索希腊罗马神话中宙斯的人性一面论文一篇其他乔治·艾略特小说的宗教隐喻和文化批评在研中其他探究西游记与天路历程的共性与差异在研中其他
192,204.0,nannannan
193,205.0,nannannan
194,206.0,手机低头族的校园社会支持系统及其应对策略在河北大学“2017年校级大学生创新创业训练计划项目“结项评审中被评为优秀其他味觉、感觉寻求和创造性思维的关系研究学年论文答辩被评为优秀，毕业论文会对该项目进行进一步的完善。其他青春不老—合唱训练对于中老年人积极心理构建的调研“青春不老-合唱训练对于中老年人积极心理构建的调研与实践项目”被立为国家级大学生创新创业训练计划项目，目前，该项目正处于实施阶段。国家级
195,207.0,“新道杯”黑龙江省大学生创业经营模拟大赛团体三等奖省市级黑龙江省“企业价值创造实战”财会竞赛团体三等奖省市级
196,208.0,椭圆规、旋转手柄雨伞入围红点奖初审国家级椭圆规收到专利申请受理书，仍在审核过程中其他婴儿床收到专利申请受理书，仍在审核过程中其他
197,209.0,税收新政下对海外私人职业海外代购与跨境电商（B2C模税收新政下对私人职业海外代购与跨境电商(B2C模式)新型合作方式的研究结项报告书其他“一带一路”背景下新疆经济与文化的介绍和推广发表论文《“一带一路”背景下新疆经济与文化的介绍和推广》其他
198,210.0,nannannan
199,211.0,“三下乡”大茂山暑期社会实践小组成员根据实地调研内容撰写了调研报告，目前项目的申报工作还在进行中，还未结项。国家级
200,212.0,nannannan
201,213.0,nannannan
202,214.0,山丹继代培养试验在《河北农业大学学报》（核心期刊）发表论文《不同外源激素对山丹继代培养过程中内源激素的影响》其他遮阴对玻璃苣光合特性的影响试验在《河北农业大学学报》（核心期刊）发表论文《遮荫对玻璃苣光合特性的影响》其他暴马丁香花粉萌发试验在《林业与生态科学》（省级期刊）发表论文《暴马丁香花粉萌发适宜培养基的筛选》。其他模拟酸雨对草坪草影响试验在《林业与生态科学》（省级期刊）发表论文《模拟酸雨对4种草坪草幼苗生理特性影响》。其他
203,215.0,nannannan
204,216.0,nannannan
205,217.0,《基于青年人偏好的城市园林植物景观的因子分析》我以第一作者撰写的论文被核心期刊《中国园林》收录。其他《徽州地区的水口园林特点》我以第一作者撰写的论文被SCD期刊《大众文艺》收录其他《徽商大宅院的园林景观特点与现状保护》我以第一作者撰写的论文被SCD期刊《大众文艺》收录。其他《浅析江南园林的园林工程特点》我以第一作者撰写的论文被SCD期刊《艺术科技》收录。其他
206,218.0,nannannan
207,219.0,“学术明星”计划作为第二作者身份（导师第一作者）参与撰写的论文《Research on Road Traffic Flow Status Based on Survival Analysis》已在Journal of Physics: Conference Series发表。其他
208,220.0,课程论文论文《Kindle电子书阅读器在华的品牌策略》已被《国际品牌观察》接收，将于10月见刊。其他
209,221.0,《野生铁核桃全产业链技术升级》过营销模式的创新研究，解决了云南香格里拉地区野生铁核桃资源丰富，可利用价值高，但外销品中以初级加工产品为主，后续深加工产品的研发滞后，产品附加值低的问题。省市级
210,222.0,nannannan
211,223.0,nannannan
212,224.0,nannannan
213,225.0,土壤水分胁迫对观赏植物的生理特性和生命的影响本项目正在进行中其他
214,226.0,乡村振兴背景下海南岛传统村落空间分布及驱动力研究2018年12月以《乡村振兴背景下的海南岛传统村落空间分布及其驱动力研究》获得2018第八届艾景国际园林景观规划设计大会优秀论文；并获得海南大学挑战杯校内选拔赛三等奖。其他文化传承视角下，平遥古城风貌保护的探究2018年12月以《文化传承视角下，平遥古城风貌保护的探究》，获得海南大学暑期社会实践活动优秀调查报告二等奖其他
215,227.0,nannannan
216,228.0,nannannan
217,229.0,nannannan
218,230.0,基于绿地生态系统服务的城市居民生态福祉提升路径研究1、使用多个微观指标，将人类福祉这宏观的指标以多个不同的特征点来进行讨论，并采用统计手段解释了城市绿地功能对居民福祉的影响以及对于生态福祉各指标的满意度。2、完成结题报告书与结题总结3、培育团队成员创新能力及科研素养国家级
219,232.0,北京大学国发院CHARLS项目nannan
220,233.0,中国主要城市公共空间日语规范化问题研究有效收集整理国内日本游客量较大的城市和地区代表性公共空间的日文标识语使用情况。对国内公共空间日语使用规范化进程的推进做出贡献，对规范使用外语进行更好的倡导，以优化城市及国家形象。国家级
