,i,score,label
543,590,,
544,591,,
545,592,,
546,593,,
547,595,,
548,596,,
549,597,86.63,1.0
550,598,,
551,599,77.76,1.0
552,600,,
553,602,80.0,1.0
554,603,85.7333,1.0
555,604,,
556,605,,
557,606,,
558,607,,
559,608,,
560,609,83.28,1.0
561,610,,
562,611,,
563,612,79.44,1.0
564,614,,
565,615,,
566,616,,
567,617,,
568,618,77.15,1.0
569,619,,
570,620,,
571,621,,
572,622,,
573,623,89.55,1.0
574,624,77.25,1.0
575,625,,
576,626,95.0,1.0
577,627,,
578,628,,
579,629,,
580,631,,
581,632,,
582,633,,
583,634,82.16,1.0
584,635,,
585,636,94.3,1.0
586,637,,
587,638,,
588,639,,
589,641,,
590,642,,
591,643,,
592,644,,
593,645,,
594,646,,
595,647,,
596,648,,
597,649,85.77,1.0
598,650,,
599,651,,
600,652,,
601,653,,
602,654,,
603,655,,
604,656,87.2,1.0
605,657,,
606,658,80.9,1.0
607,659,88.52,1.0
608,660,89.6,1.0
609,661,,
610,662,,
611,663,82.65,1.0
612,664,,
613,665,,
614,666,88.04,1.0
615,668,82.76,1.0
616,669,,
617,670,,
618,671,,
619,672,,
620,673,,
621,675,91.47,1.0
622,676,,
623,677,,
624,678,,
625,679,,
626,680,,
627,682,,
628,684,,
629,685,,
630,686,,
631,687,92.09,1.0
632,688,,
633,689,,
634,690,85.98,1.0
635,691,,
636,692,,
637,693,,
638,694,80.97,1.0
639,695,85.3,1.0
640,696,,
641,697,,
642,698,91.59,1.0
643,699,,
644,700,88.63,1.0
645,701,91.14,1.0
646,702,,
647,703,84.96,1.0
648,704,92.5,1.0
649,705,86.96,1.0
650,706,,
651,707,,
652,708,90.12,1.0
653,709,78.5,1.0
654,710,,
655,711,87.57,1.0
656,712,,
657,713,87.4,1.0
658,714,89.84,1.0
659,715,,
660,716,,
661,717,83.2667,1.0
662,718,86.75,1.0
663,719,79.56,1.0
664,720,,
665,722,,
666,723,,
667,725,,
668,726,88.25,1.0
669,727,82.0,1.0
670,728,,
671,729,,
672,730,,
673,731,,
674,733,,
675,734,,
676,735,,
677,736,96.0,1.0
678,737,,
679,738,75.51,1.0
680,739,83.13,1.0
681,740,87.62,1.0
682,741,90.05,1.0
683,742,90.48,1.0
684,743,83.55,1.0
685,744,,
686,745,,
687,746,92.0,1.0
688,747,,
689,748,88.27,1.0
690,749,,
691,750,92.95,1.0
692,751,91.29,1.0
693,752,87.5,1.0
694,753,,
695,754,91.68,1.0
696,755,,
697,756,,
698,758,,
699,759,,
700,760,84.76,1.0
701,761,,
702,762,,
703,763,,
704,764,,
705,765,,
706,767,,
707,768,76.8,1.0
708,769,79.33,1.0
709,770,,
710,771,,
711,772,79.74,1.0
712,773,,
713,774,,
714,775,,
715,776,,
716,777,,
717,778,73.8,1.0
718,779,,
719,780,,
720,781,,
721,782,,
722,783,,
723,784,,
724,785,81.91,1.0
725,786,,
726,787,,
727,788,84.95,1.0
728,790,,
729,791,,
730,793,,
731,794,,
732,795,,
733,797,,
734,799,,
735,800,,
736,801,,
737,802,,
738,803,,
739,804,92.0,1.0
740,805,,
741,806,88.52,1.0
742,807,,
743,808,96.0,1.0
744,809,,
745,810,86.05,1.0
746,811,,
747,812,,
748,813,,
749,814,,
750,815,87.45,1.0
751,816,,
752,817,88.65,1.0
753,818,,
754,819,,
755,820,,
756,821,,
757,822,,
758,823,,
759,824,,
760,825,,
761,826,,
762,827,95.3,1.0
763,828,84.38,1.0
764,830,,
765,831,,
766,832,,
767,833,,
768,834,,
769,835,,
770,836,,
771,837,85.99,1.0
772,838,82.65,1.0
773,840,,
774,841,,
775,842,,
776,843,,
777,844,,
778,845,,
779,846,,
780,847,,
781,848,,
782,849,83.6,1.0
783,850,,
784,851,,
785,852,,
786,853,,
787,855,83.88,1.0
788,856,,
789,858,,
790,859,,
791,861,,
792,862,,
793,863,,
794,864,93.75,1.0
795,865,,
796,866,,
797,867,,
798,868,86.85,1.0
799,869,,
800,870,,
801,871,,
802,872,,
803,873,,
804,875,,
805,876,,
806,877,91.29,1.0
807,878,,
808,879,84.79,1.0
809,880,,
810,881,,
811,882,,
812,883,84.9,1.0
813,884,,
814,885,,
815,886,,
816,887,,
817,888,,
818,889,,
819,890,86.35,1.0
820,891,80.69,1.0
821,892,,
822,893,,
823,895,,
824,896,,
825,897,86.2,1.0
826,898,,
827,899,88.81,1.0
828,900,92.75,1.0
829,901,,
830,902,,
831,903,87.05,1.0
832,904,89.86,1.0
833,905,,
834,906,,
835,907,76.35,1.0
836,909,83.8,1.0
837,912,,
838,914,,
839,915,,
840,916,,
841,917,,
842,918,84.24,1.0
843,919,,
844,920,85.6,1.0
845,921,,
846,922,88.57,1.0
847,923,,
848,924,76.2,1.0
849,925,84.45,1.0
850,926,87.67,1.0
851,927,,
852,928,87.88,1.0
853,929,,
854,930,,
855,931,81.34,1.0
856,932,,
857,933,82.84,1.0
858,934,90.48,1.0
859,935,72.71,1.0
860,936,87.63,1.0
861,937,77.35,1.0
862,938,,
863,939,,
864,940,,
865,941,,
866,942,,
867,943,,
868,944,,
869,945,,
870,946,89.0,1.0
871,947,82.88,1.0
872,948,,
873,949,,
874,950,87.0,1.0
875,951,,
876,952,82.66,1.0
877,953,,
878,954,85.8,1.0
879,955,88.06,1.0
880,956,86.73,1.0
881,957,,
882,958,80.01,1.0
883,959,85.0,1.0
884,960,76.1,1.0
885,961,82.07,1.0
886,962,77.86,1.0
887,963,65.56,1.0
888,964,85.94,1.0
889,965,74.11,1.0
890,966,90.3,1.0
891,967,84.38,1.0
892,968,73.39,1.0
893,971,85.14,1.0
894,972,87.03,1.0
895,973,78.56,1.0
896,974,,
897,975,79.86,1.0
898,976,84.87,1.0
899,977,80.41,1.0
900,978,88.1,1.0
901,979,89.26,1.0
902,980,82.56,1.0
903,981,88.46,1.0
904,982,76.86,1.0
905,983,75.06,1.0
906,984,,
907,985,77.87,1.0
908,986,77.49,1.0
909,987,80.4,1.0
910,988,90.93,1.0
911,989,80.91,1.0
912,990,74.7,1.0
913,991,,
914,992,86.26,1.0
915,993,,
916,994,,
917,995,77.6,1.0
918,996,93.03,1.0
919,997,74.51,1.0
920,998,84.68,1.0
921,999,87.9,1.0
922,1000,83.77,1.0
923,1001,,
924,1002,79.03,1.0
925,1003,87.9,1.0
926,1004,75.17,1.0
927,1005,90.66,1.0
928,1006,,
929,1007,83.53,1.0
930,1008,88.45,1.0
931,1009,84.96,1.0
932,1010,81.71,1.0
933,1011,84.36,1.0
934,1012,,
935,1013,,
936,1014,83.93,1.0
937,1015,79.84,1.0
938,1016,85.81,1.0
939,1017,,
940,1018,,
941,1019,78.59,1.0
942,1020,87.97,1.0
943,1021,,
944,1022,,
945,1023,89.1,1.0
946,1024,77.99,1.0
947,1025,,
948,1026,89.51,1.0
949,1027,78.07,1.0
950,1028,,
951,1029,93.0,1.0
952,1031,,
953,1033,81.93,1.0
954,1034,87.2,1.0
955,1035,87.45,1.0
956,1036,78.71,1.0
957,1037,,
958,1038,79.9,1.0
959,1039,67.24,1.0
960,1040,,
961,1042,90.09,1.0
962,1043,86.63,1.0
963,1044,78.47,1.0
964,1045,,
965,1046,,
966,1047,78.7,1.0
967,1048,88.03,1.0
968,1049,89.29,1.0
969,1050,83.1,1.0
970,1051,,
971,1052,88.87,1.0
972,1053,90.31,1.0
973,1054,,
974,1055,80.86,1.0
975,1057,94.0,1.0
976,1058,,
977,1059,,
978,1060,83.51,1.0
979,1061,93.3,1.0
980,1062,78.5,1.0
981,1063,,
982,1064,73.44,1.0
983,1065,89.0,1.0
984,1066,,
985,1067,,
986,1068,89.23,1.0
987,1069,,
988,1070,,
989,1072,,
990,1073,,
991,1074,,
992,1075,,
993,1076,,
994,1077,,
995,1078,90.7,1.0
996,1079,,
997,1080,80.96,1.0
998,1081,,
999,1082,,
1000,1083,,
1001,1084,,
1002,1085,85.0,1.0
1003,1086,,
1004,1087,,
1005,1088,,
1006,1089,89.57,1.0
1007,1090,,
1008,1091,,
1009,1092,77.24,1.0
1010,1093,79.51,1.0
1011,1094,92.7,1.0
1012,1095,86.36,1.0
1013,1096,86.17,1.0
1014,1097,,
1015,1098,79.5,1.0
1016,1099,,
1017,1100,84.0,1.0
1018,1101,87.38,1.0
1019,1102,79.44,1.0
1020,1103,,
1021,1104,,
1022,1105,,
1023,1107,,
1024,1108,,
1025,1109,,
1026,1110,82.47,1.0
1027,1111,,
1028,1112,,
1029,1113,,
1030,1114,,
1031,1115,,
1032,1116,69.66,1.0
1033,1117,,
1034,1118,,
1035,1119,85.4,1.0
1036,1120,,
1037,1121,,
1038,1122,80.0,1.0
1039,1123,,
1040,1124,,
1041,1125,76.3,1.0
1042,1126,,
1043,1128,85.19,1.0
1044,1129,,
1045,1130,82.68,1.0
1046,1132,83.87,1.0
1047,1133,,
1048,1134,,
1049,1135,,
1050,1136,,
1051,1137,,
1052,1138,,
1053,1139,,
1054,1140,,
1055,1141,,
1056,1142,,
1057,1144,,
1058,1145,84.73,1.0
1059,1147,75.06,1.0
1060,1148,,
1061,1149,88.4,1.0
1062,1150,,
1063,1151,,
1064,1152,,
1065,1153,87.9,1.0
1066,1154,,
1067,1155,,
1068,1156,89.54,1.0
1069,1157,,
1070,1158,89.33,1.0
1071,1159,,
1072,1160,82.26,1.0
1073,1161,,
1074,1162,,
1075,1163,,
1076,1164,,
1077,1165,,
1078,1166,,
1079,1167,,
1080,1169,79.0,1.0
1081,1170,,
1082,1171,,
1083,1172,94.0,1.0
1084,1173,,
1085,1174,,
1086,1175,,
1087,1176,,
1088,1177,,
1089,1178,,
1090,1179,,
1091,1180,92.75,1.0
1092,10000,82.65,1.0
1093,10001,87.2,1.0
1094,10002,,
